date,imaging_utilization,lab_test_utilization,patient_to_clinician_ratio,treatment_slot_utilization
2025-03-07,27.0,85.0,10.59,22.0
2025-03-08,34.0,94.0,12.29,14.0
2025-03-09,49.0,71.0,12.75,16.0
2025-03-10,27.0,67.0,11.3,19.0
2025-03-11,20.0,88.0,13.64,18.0
2025-03-12,36.0,56.0,14.49,13.0
2025-03-13,45.0,68.0,8.76,25.0
2025-03-14,32.0,68.0,9.84,10.0
2025-03-15,43.0,94.0,8.71,28.0
2025-03-16,40.0,59.0,10.8,24.0
2025-03-17,27.0,76.0,14.09,19.0
2025-03-18,34.0,86.0,12.41,12.0
2025-03-19,26.0,61.0,8.83,27.0
2025-03-20,42.0,54.0,9.51,29.0
2025-03-21,38.0,58.0,14.6,28.0
2025-03-22,48.0,80.0,9.44,23.0
2025-03-23,30.0,82.0,13.54,12.0
2025-03-24,45.0,64.0,13.24,20.0
2025-03-25,45.0,62.0,10.19,16.0
2025-03-26,34.0,60.0,13.33,17.0
2025-03-27,38.0,88.0,13.91,17.0
2025-03-28,48.0,89.0,9.02,19.0
2025-03-29,44.0,55.0,8.26,17.0
2025-03-30,44.0,97.0,10.95,11.0
2025-03-31,46.0,81.0,11.58,21.0
2025-04-01,49.0,84.0,9.07,18.0
2025-04-02,35.0,93.0,14.04,27.0
2025-04-03,29.0,61.0,10.44,29.0
2025-04-04,37.0,51.0,8.58,17.0
2025-04-05,35.0,97.0,8.46,22.0
2025-04-06,48.0,86.0,8.97,24.0
2025-04-07,49.0,100.0,10.33,16.0
2025-04-08,29.0,85.0,10.19,12.0
2025-04-09,41.0,94.0,9.66,28.0
2025-04-10,29.0,66.0,10.7,24.0
2025-04-11,42.0,86.0,11.54,10.0
2025-04-12,43.0,90.0,9.67,24.0
2025-04-13,33.0,63.0,9.12,28.0
2025-04-14,24.0,79.0,10.65,21.0
2025-04-15,29.0,92.0,14.51,23.0
2025-04-16,36.0,50.0,9.74,16.0
2025-04-17,37.0,51.0,10.0,29.0
2025-04-18,43.0,72.0,8.29,16.0
2025-04-19,23.0,63.0,12.97,11.0
2025-04-20,27.0,80.0,9.78,28.0
2025-04-21,33.0,87.0,11.06,22.0
2025-04-22,27.0,73.0,11.75,25.0
2025-04-23,39.0,63.0,12.5,23.0
2025-04-24,39.0,66.0,11.91,12.0
2025-04-25,28.0,51.0,14.84,13.0
2025-04-26,47.0,52.0,13.76,18.0
2025-04-27,34.0,57.0,10.38,19.0
2025-04-28,38.0,77.0,8.25,14.0
2025-04-29,22.0,55.0,10.6,29.0
2025-04-30,42.0,67.0,8.24,18.0
2025-05-01,27.0,91.0,13.88,12.0
2025-05-02,27.0,80.0,12.9,30.0
2025-05-03,34.0,71.0,14.4,10.0
2025-05-04,43.0,68.0,13.66,12.0
2025-05-05,45.0,89.0,13.74,17.0
2025-05-06,40.0,68.0,13.3,12.0
2025-05-07,29.0,81.0,9.51,11.0
2025-05-08,41.0,55.0,8.94,29.0
2025-05-09,22.0,98.0,14.65,19.0
2025-05-10,37.0,77.0,14.78,19.0
2025-05-11,20.0,91.0,11.31,14.0
2025-05-12,45.0,93.0,12.14,26.0
2025-05-13,48.0,65.0,13.47,13.0
2025-05-14,20.0,95.0,8.84,18.0
2025-05-15,31.0,98.0,11.99,12.0
2025-05-16,39.0,64.0,8.52,13.0
2025-05-17,37.0,76.0,10.9,29.0
2025-05-18,22.0,91.0,10.4,23.0
2025-05-19,23.0,71.0,10.46,13.0
2025-05-20,50.0,57.0,11.5,16.0
2025-05-21,29.0,71.0,13.62,13.0
2025-05-22,26.0,78.0,8.39,10.0
2025-05-23,34.0,90.0,12.21,17.0
2025-05-24,46.0,61.0,12.72,23.0
2025-05-25,45.0,54.0,13.67,28.0
2025-05-26,20.0,73.0,13.98,18.0
2025-05-27,38.0,56.0,10.3,26.0
2025-05-28,49.0,78.0,11.1,19.0
2025-05-29,38.0,71.0,13.89,27.0
2025-05-30,31.0,99.0,10.91,21.0
2025-05-31,43.0,71.0,11.39,25.0
2025-06-01,26.0,85.0,14.41,27.0
2025-06-02,22.0,86.0,8.05,15.0
2025-06-03,21.0,70.0,8.25,15.0
2025-06-04,37.0,60.0,14.6,12.0
