date,active_clinicians,avg_outstanding_tasks,avg_patients_admitted,avg_patients_seen
2025-03-07,20.0,4.3,2.45,8.74
2025-03-08,21.0,3.18,1.62,9.95
2025-03-09,15.0,3.78,3.2,8.78
2025-03-10,17.0,2.57,3.94,8.37
2025-03-11,24.0,2.67,2.29,7.25
2025-03-12,25.0,3.22,2.12,8.96
2025-03-13,16.0,3.44,2.06,9.85
2025-03-14,15.0,4.47,2.0,8.19
2025-03-15,17.0,1.25,3.71,5.6
2025-03-16,17.0,2.46,3.24,8.82
2025-03-17,19.0,3.99,3.63,7.83
2025-03-18,18.0,1.99,3.28,9.12
2025-03-19,16.0,2.4,3.56,7.53
2025-03-20,24.0,3.63,2.58,7.5
2025-03-21,24.0,3.8,2.67,7.19
2025-03-22,18.0,2.93,1.89,6.63
2025-03-23,15.0,2.23,3.27,6.05
2025-03-24,23.0,4.27,1.65,8.65
2025-03-25,15.0,4.87,3.73,5.36
2025-03-26,19.0,1.78,2.32,6.5
2025-03-27,24.0,2.57,1.67,6.58
2025-03-28,21.0,3.41,2.0,6.66
2025-03-29,17.0,3.02,2.82,6.49
2025-03-30,19.0,2.81,1.68,7.5
2025-03-31,18.0,3.62,3.11,5.76
2025-04-01,24.0,1.31,1.79,6.13
2025-04-02,22.0,4.81,2.59,9.25
2025-04-03,19.0,3.94,2.42,7.75
2025-04-04,17.0,2.93,2.94,5.62
2025-04-05,19.0,3.87,2.0,6.15
2025-04-06,19.0,4.69,1.89,9.71
2025-04-07,23.0,2.79,1.43,5.69
2025-04-08,24.0,2.59,2.75,8.01
2025-04-09,19.0,1.45,2.16,7.8
2025-04-10,23.0,4.32,2.04,5.58
2025-04-11,18.0,2.06,2.94,8.27
2025-04-12,24.0,2.14,2.71,5.2
2025-04-13,18.0,2.47,2.17,6.17
2025-04-14,17.0,3.65,3.35,7.38
2025-04-15,17.0,1.8,2.06,8.61
2025-04-16,19.0,2.34,1.74,5.33
2025-04-17,19.0,1.33,3.21,9.35
2025-04-18,19.0,3.81,3.0,8.4
2025-04-19,18.0,3.84,3.33,5.21
2025-04-20,15.0,1.74,3.13,5.38
2025-04-21,17.0,2.41,3.35,5.3
2025-04-22,25.0,4.85,1.8,6.25
2025-04-23,19.0,1.4,2.05,8.2
2025-04-24,19.0,2.39,3.63,6.04
2025-04-25,25.0,3.63,2.12,7.22
2025-04-26,22.0,1.78,2.55,8.5
2025-04-27,20.0,4.6,1.55,5.03
2025-04-28,17.0,2.29,3.12,6.01
2025-04-29,21.0,4.32,1.71,9.66
2025-04-30,17.0,4.89,3.53,6.58
2025-05-01,25.0,3.04,1.52,5.04
2025-05-02,21.0,3.8,2.95,9.35
2025-05-03,17.0,1.37,2.12,7.13
2025-05-04,25.0,4.24,1.76,6.31
2025-05-05,24.0,2.9,1.42,5.98
2025-05-06,21.0,3.28,3.0,5.09
2025-05-07,24.0,2.4,2.33,5.12
2025-05-08,18.0,4.94,3.22,8.85
2025-05-09,18.0,4.27,3.11,9.62
2025-05-10,22.0,4.43,2.55,5.93
2025-05-11,18.0,1.79,3.39,8.25
2025-05-12,24.0,1.93,2.46,9.89
2025-05-13,16.0,3.68,3.25,5.18
2025-05-14,18.0,4.96,1.83,5.47
2025-05-15,22.0,3.18,2.32,7.17
2025-05-16,23.0,4.1,1.83,9.21
2025-05-17,18.0,1.27,1.72,5.96
2025-05-18,18.0,2.02,2.17,8.17
2025-05-19,25.0,2.35,2.8,5.16
2025-05-20,19.0,1.83,2.16,5.57
2025-05-21,21.0,4.43,1.81,6.02
2025-05-22,19.0,2.62,2.63,7.41
2025-05-23,17.0,3.15,3.71,8.75
2025-05-24,24.0,2.97,1.29,7.05
2025-05-25,25.0,4.39,1.28,7.73
2025-05-26,20.0,1.4,2.8,5.7
2025-05-27,15.0,4.21,2.53,9.07
2025-05-28,16.0,4.07,3.12,6.87
2025-05-29,24.0,3.42,2.04,6.66
2025-05-30,24.0,1.49,2.17,6.15
2025-05-31,17.0,4.36,3.24,7.21
2025-06-01,15.0,4.77,3.67,8.1
2025-06-02,23.0,4.73,1.87,5.05
2025-06-03,19.0,3.66,2.11,5.16
2025-06-04,15.0,2.09,2.93,8.51
