date,mdt_action_completion_rate,mdt_avg_attendance,mdt_avg_case_discussion_time,mdt_avg_wait_time,mdt_meeting_count
2025-03-07,80.0,9.96,6.1,1.33,5.0
2025-03-08,94.79,8.16,7.54,0.66,3.0
2025-03-09,85.02,9.83,11.9,1.09,3.0
2025-03-10,93.17,9.39,14.24,1.24,2.0
2025-03-11,92.43,8.48,10.12,0.96,4.0
2025-03-12,81.39,6.34,11.86,1.91,4.0
2025-03-13,86.64,8.05,6.31,1.73,4.0
2025-03-14,82.79,6.3,5.41,1.55,2.0
2025-03-15,85.36,9.44,12.03,0.59,4.0
2025-03-16,96.15,9.7,14.07,1.01,4.0
2025-03-17,85.4,6.23,14.94,0.81,3.0
2025-03-18,85.45,9.31,6.85,0.88,2.0
2025-03-19,90.06,6.22,11.54,1.58,3.0
2025-03-20,90.02,9.56,8.83,0.56,5.0
2025-03-21,86.26,6.01,9.2,1.15,5.0
2025-03-22,81.75,6.65,8.32,0.95,5.0
2025-03-23,93.02,9.07,6.47,1.13,4.0
2025-03-24,96.2,7.5,9.74,1.86,3.0
2025-03-25,91.85,7.56,8.92,0.63,4.0
2025-03-26,80.97,7.38,12.36,1.98,3.0
2025-03-27,80.67,9.61,7.27,0.88,3.0
2025-03-28,96.71,8.78,5.81,0.53,3.0
2025-03-29,85.35,7.04,13.57,0.78,2.0
2025-03-30,95.13,7.21,13.9,1.91,2.0
2025-03-31,90.17,6.27,14.62,1.86,2.0
2025-04-01,80.18,9.83,14.1,1.82,4.0
2025-04-02,97.96,9.18,12.31,0.99,4.0
2025-04-03,83.09,7.8,5.24,1.89,4.0
2025-04-04,81.44,8.83,7.73,0.58,2.0
2025-04-05,96.72,7.73,13.08,1.9,3.0
2025-04-06,84.16,7.73,7.61,1.03,3.0
2025-04-07,81.94,9.6,10.46,1.41,5.0
2025-04-08,93.37,9.76,6.92,1.28,4.0
2025-04-09,88.99,9.62,8.59,1.39,3.0
2025-04-10,94.71,7.93,12.46,1.26,2.0
2025-04-11,80.28,9.87,6.49,0.98,2.0
2025-04-12,88.04,7.81,11.17,1.24,4.0
2025-04-13,84.88,9.27,14.3,1.96,2.0
2025-04-14,81.85,8.44,12.96,1.03,4.0
2025-04-15,93.41,8.49,6.39,1.06,5.0
2025-04-16,95.2,7.57,8.67,1.49,3.0
2025-04-17,84.74,9.7,11.29,0.83,2.0
2025-04-18,87.23,7.96,12.66,1.51,3.0
2025-04-19,88.15,8.35,7.21,1.26,3.0
2025-04-20,90.29,7.56,5.29,0.93,4.0
2025-04-21,90.31,8.81,5.46,0.64,3.0
2025-04-22,89.99,6.04,8.6,2.0,4.0
2025-04-23,83.6,6.33,14.09,1.15,3.0
2025-04-24,93.56,7.32,13.69,1.03,5.0
2025-04-25,95.34,7.76,11.46,1.72,5.0
2025-04-26,91.32,7.3,6.4,1.58,4.0
2025-04-27,86.79,8.91,12.41,0.79,4.0
2025-04-28,87.86,9.5,12.11,1.09,5.0
2025-04-29,88.61,9.2,6.07,1.33,5.0
2025-04-30,82.64,9.98,9.46,1.77,2.0
2025-05-01,86.66,8.73,10.0,1.66,3.0
2025-05-02,83.73,8.31,11.51,1.57,4.0
2025-05-03,87.28,9.6,5.7,1.84,5.0
2025-05-04,81.95,8.21,11.23,0.99,2.0
2025-05-05,80.63,6.82,7.11,1.64,5.0
2025-05-06,92.18,7.88,5.49,0.95,2.0
2025-05-07,83.81,8.88,10.75,0.85,5.0
2025-05-08,81.98,6.39,9.34,1.55,3.0
2025-05-09,87.34,6.22,6.86,1.71,5.0
2025-05-10,81.16,9.1,9.76,0.98,2.0
2025-05-11,80.7,6.62,9.09,1.15,5.0
2025-05-12,97.02,7.83,6.99,1.18,2.0
2025-05-13,92.25,8.19,10.32,0.82,4.0
2025-05-14,84.6,8.21,6.27,1.1,3.0
2025-05-15,80.05,6.35,13.99,0.61,5.0
2025-05-16,88.3,6.85,11.48,0.81,4.0
2025-05-17,90.86,9.17,12.95,1.78,5.0
2025-05-18,80.92,9.11,6.41,1.33,4.0
2025-05-19,87.47,7.67,5.07,1.41,4.0
2025-05-20,92.54,7.01,7.69,1.84,2.0
2025-05-21,86.45,8.84,10.24,1.34,5.0
2025-05-22,97.86,6.66,13.16,1.53,5.0
2025-05-23,86.61,9.34,7.25,1.41,5.0
2025-05-24,97.0,6.74,5.94,0.8,5.0
2025-05-25,81.53,6.6,9.6,1.18,4.0
2025-05-26,81.17,8.34,14.45,0.95,2.0
2025-05-27,97.56,7.24,11.53,1.79,3.0
2025-05-28,95.56,7.51,8.49,1.01,4.0
2025-05-29,89.81,9.67,12.83,1.16,4.0
2025-05-30,82.57,7.12,6.81,0.82,4.0
2025-05-31,84.71,9.15,11.23,0.78,4.0
2025-06-01,81.14,6.9,7.07,0.72,4.0
2025-06-02,86.38,7.11,14.56,0.63,4.0
2025-06-03,89.36,6.3,11.84,1.4,3.0
2025-06-04,94.11,8.79,5.9,1.2,4.0
