date,admission_to_treatment_start,appointment_no_show_rate,average_length_of_stay,average_mdt_wait_time,bed_occupancy_rate,daily_admissions,daily_discharges,readmission_rate_30d
2025-03-07,1.67,6.88,5.8,2.91,77.57,49.0,44.0,8.83
2025-03-08,2.11,8.22,6.96,1.43,91.52,34.0,27.0,7.39
2025-03-09,1.95,8.41,5.92,3.95,79.18,48.0,45.0,8.71
2025-03-10,1.17,9.64,4.67,3.05,86.42,67.0,58.0,9.86
2025-03-11,0.73,5.68,6.72,3.05,86.33,55.0,54.0,10.71
2025-03-12,1.91,9.39,5.41,3.72,77.98,53.0,52.0,7.9
2025-03-13,0.74,3.53,6.47,1.56,78.53,33.0,28.0,6.89
2025-03-14,0.96,3.5,6.98,2.76,94.04,30.0,20.0,5.5
2025-03-15,0.52,8.46,4.44,3.81,78.12,63.0,55.0,8.6
2025-03-16,0.82,7.23,7.0,1.87,91.82,55.0,49.0,7.17
2025-03-17,1.55,6.48,4.45,1.28,76.68,69.0,69.0,9.23
2025-03-18,0.67,5.25,4.47,3.32,76.15,59.0,54.0,7.15
2025-03-19,1.84,6.59,4.19,1.79,92.12,57.0,49.0,5.86
2025-03-20,0.94,4.8,4.18,1.53,92.37,62.0,54.0,5.05
2025-03-21,0.87,8.76,5.47,3.3,82.37,64.0,61.0,11.23
2025-03-22,0.75,8.12,6.04,1.59,76.18,34.0,28.0,7.9
2025-03-23,0.68,7.98,3.69,1.31,85.83,49.0,39.0,7.18
2025-03-24,2.43,6.89,4.12,2.69,92.44,38.0,31.0,6.67
2025-03-25,1.48,6.17,6.16,1.37,75.54,56.0,46.0,7.76
2025-03-26,1.35,6.89,5.41,1.06,94.92,44.0,41.0,9.31
2025-03-27,1.82,6.58,4.98,1.21,94.75,40.0,30.0,6.0
2025-03-28,1.41,5.6,5.8,2.54,92.96,42.0,33.0,11.65
2025-03-29,1.08,6.03,4.88,3.08,92.64,48.0,48.0,6.6
2025-03-30,0.74,9.49,4.09,4.23,84.2,32.0,32.0,8.55
2025-03-31,2.06,9.03,6.25,2.97,75.15,56.0,50.0,5.74
2025-04-01,1.61,7.02,4.33,2.67,92.57,43.0,42.0,8.03
2025-04-02,0.69,9.62,4.39,2.28,85.83,57.0,49.0,8.6
2025-04-03,2.36,7.45,5.97,3.4,81.93,46.0,40.0,9.12
2025-04-04,1.35,3.69,4.5,1.03,84.72,50.0,50.0,5.42
2025-04-05,1.27,4.56,4.2,1.86,80.92,38.0,38.0,9.33
2025-04-06,1.88,5.54,4.53,1.79,86.25,36.0,36.0,5.48
2025-04-07,2.47,8.44,6.23,1.66,92.15,33.0,30.0,7.02
2025-04-08,0.7,5.76,5.71,4.46,78.65,66.0,61.0,10.01
2025-04-09,2.33,3.86,6.15,3.42,76.45,41.0,37.0,9.03
2025-04-10,2.06,5.77,4.66,2.06,80.64,47.0,45.0,11.36
2025-04-11,1.97,5.34,4.13,1.86,83.9,53.0,53.0,8.28
2025-04-12,2.42,8.1,6.43,1.75,83.07,65.0,57.0,8.88
2025-04-13,2.41,6.96,5.45,2.61,94.84,39.0,36.0,9.35
2025-04-14,1.19,7.33,6.92,3.66,86.98,57.0,56.0,7.25
2025-04-15,2.31,5.0,6.59,3.85,93.71,35.0,33.0,5.58
2025-04-16,1.2,3.76,5.75,1.43,84.53,33.0,30.0,5.12
2025-04-17,2.36,4.83,6.99,4.49,83.51,61.0,53.0,9.97
2025-04-18,0.66,3.3,4.5,3.47,82.59,57.0,55.0,10.21
2025-04-19,2.4,3.83,4.2,3.25,80.78,60.0,56.0,10.48
2025-04-20,1.65,4.45,4.87,3.34,78.84,47.0,40.0,11.91
2025-04-21,0.73,7.0,6.81,1.43,82.45,57.0,47.0,6.72
2025-04-22,0.74,9.84,6.5,1.17,79.56,45.0,37.0,8.56
2025-04-23,0.7,9.3,5.77,1.08,79.72,39.0,35.0,6.79
2025-04-24,1.55,4.59,4.39,2.79,83.8,69.0,61.0,5.53
2025-04-25,2.49,8.57,6.4,2.41,88.78,53.0,53.0,5.81
2025-04-26,0.75,7.6,4.28,2.15,80.37,56.0,56.0,11.15
2025-04-27,2.07,6.12,3.52,3.95,89.08,31.0,31.0,11.88
2025-04-28,2.27,3.58,6.84,2.88,75.56,53.0,50.0,8.57
2025-04-29,1.61,3.39,5.57,3.32,79.35,36.0,27.0,7.14
2025-04-30,1.49,4.76,5.03,1.39,84.83,60.0,58.0,7.08
2025-05-01,1.12,9.97,4.03,3.72,79.59,38.0,32.0,7.79
2025-05-02,0.54,4.96,3.79,3.26,92.48,62.0,58.0,9.35
2025-05-03,2.46,5.95,3.74,1.24,83.98,36.0,34.0,11.29
2025-05-04,1.42,4.15,3.71,3.53,84.91,44.0,34.0,7.63
2025-05-05,0.78,6.99,6.68,3.35,83.08,34.0,26.0,11.56
2025-05-06,2.15,8.56,4.43,4.32,77.29,63.0,55.0,10.47
2025-05-07,0.65,7.7,3.73,4.46,75.72,56.0,53.0,11.45
2025-05-08,1.91,6.97,5.02,3.78,82.54,58.0,57.0,6.93
2025-05-09,2.4,6.99,6.41,3.16,78.58,56.0,50.0,6.07
2025-05-10,1.39,6.4,5.84,3.25,76.53,56.0,48.0,11.39
2025-05-11,1.09,4.27,4.67,2.24,82.86,61.0,55.0,10.79
2025-05-12,1.89,9.34,6.03,4.23,93.18,59.0,54.0,6.81
2025-05-13,0.93,6.95,5.68,2.06,84.4,52.0,43.0,7.48
2025-05-14,2.09,3.31,5.73,3.21,91.42,33.0,29.0,5.81
2025-05-15,2.16,9.62,5.09,4.34,77.09,51.0,50.0,11.15
2025-05-16,2.21,8.05,4.82,1.22,85.34,42.0,36.0,5.09
2025-05-17,1.17,4.82,3.92,1.9,81.37,31.0,29.0,5.62
2025-05-18,1.57,4.25,5.21,3.25,91.49,39.0,39.0,8.45
2025-05-19,0.81,9.97,3.65,3.54,90.35,70.0,69.0,7.96
2025-05-20,1.09,8.49,6.74,3.78,76.91,41.0,37.0,5.67
2025-05-21,0.51,6.18,6.16,2.52,84.13,38.0,36.0,10.43
2025-05-22,2.48,4.77,5.55,2.76,75.82,50.0,41.0,5.26
2025-05-23,2.24,3.82,4.4,4.23,88.01,63.0,54.0,9.72
2025-05-24,2.02,4.18,6.09,2.72,79.66,31.0,26.0,7.25
2025-05-25,2.37,8.71,5.32,2.65,78.29,32.0,28.0,8.16
2025-05-26,2.42,8.75,3.85,1.47,78.26,56.0,54.0,5.56
2025-05-27,2.11,9.89,6.07,3.81,93.31,38.0,28.0,8.4
2025-05-28,2.4,9.79,4.99,2.75,79.27,50.0,45.0,6.24
2025-05-29,0.97,5.69,4.77,4.09,84.47,49.0,45.0,7.27
2025-05-30,2.15,4.59,4.18,3.99,94.93,52.0,44.0,10.28
2025-05-31,0.95,8.7,4.74,1.56,75.49,55.0,45.0,6.72
2025-06-01,1.53,8.38,6.53,4.29,78.45,55.0,53.0,7.67
2025-06-02,0.92,9.87,6.37,1.18,83.45,43.0,39.0,11.34
2025-06-03,0.88,4.37,5.99,2.71,79.46,40.0,40.0,10.45
2025-06-04,0.54,3.18,4.77,1.52,78.87,44.0,43.0,8.38
