date,pathway_adherence_rate,pathway_admit_to_treatment_time,pathway_complication_rate,pathway_diagnosis_to_treatment_time,pathway_dropout_rate,pathway_failure_rate,pathway_readmission_rate,pathway_relapse_rate,pathway_success_rate,pathway_treatment_duration
2025-03-07,84.94,1.07,3.56,3.07,8.28,10.799999999999997,8.58,3.5,89.2,11.0
2025-03-08,89.57,1.57,6.96,1.12,11.69,7.689999999999998,11.51,3.56,92.31,10.59
2025-03-09,71.12,2.05,7.97,2.22,8.39,21.180000000000007,8.42,3.45,78.82,10.13
2025-03-10,72.42,1.16,9.87,1.08,5.48,17.17,10.33,3.87,82.83,5.88
2025-03-11,71.38,2.02,7.6,2.51,12.0,16.22,8.13,4.27,83.78,13.83
2025-03-12,81.79,2.48,5.08,2.87,14.36,5.230000000000004,11.93,2.37,94.77,12.84
2025-03-13,74.44,1.52,4.21,3.5,13.9,5.260000000000005,11.23,2.06,94.74,6.66
2025-03-14,87.33,1.67,9.43,2.55,10.75,5.819999999999993,5.46,7.49,94.18,7.11
2025-03-15,76.51,0.81,4.54,2.55,8.84,6.760000000000005,9.58,6.13,93.24,13.7
2025-03-16,70.61,0.61,5.04,2.75,7.35,22.620000000000005,6.25,3.72,77.38,10.84
2025-03-17,80.85,1.63,4.81,3.81,9.58,15.61,9.65,7.09,84.39,5.46
2025-03-18,81.9,2.25,7.12,2.97,8.8,7.810000000000002,10.01,5.16,92.19,8.69
2025-03-19,72.35,2.39,5.51,2.52,6.75,22.069999999999993,5.74,4.57,77.93,9.74
2025-03-20,71.8,1.55,9.78,2.4,7.66,22.209999999999994,8.27,2.87,77.79,5.76
2025-03-21,85.3,1.82,4.23,3.11,11.35,22.819999999999993,6.35,6.34,77.18,6.95
2025-03-22,81.38,1.38,5.71,2.23,7.14,9.64,7.27,4.48,90.36,11.16
2025-03-23,84.76,1.16,5.03,3.92,6.78,20.189999999999998,10.47,2.59,79.81,9.36
2025-03-24,85.44,1.44,4.34,3.36,13.87,17.439999999999998,10.15,5.87,82.56,11.54
2025-03-25,87.45,1.06,7.99,2.4,7.82,14.659999999999997,8.2,7.72,85.34,12.1
2025-03-26,79.47,2.15,9.26,1.58,14.29,7.569999999999993,10.18,4.32,92.43,6.0
2025-03-27,85.77,1.82,9.04,3.93,5.95,6.079999999999998,6.02,4.83,93.92,13.72
2025-03-28,77.47,2.37,8.79,1.89,7.3,8.849999999999994,5.32,5.17,91.15,7.53
2025-03-29,90.0,2.37,4.45,3.74,7.87,5.769999999999996,7.11,2.97,94.23,11.25
2025-03-30,75.79,0.82,5.83,2.32,12.33,21.230000000000004,5.56,6.65,78.77,13.51
2025-03-31,85.07,0.99,8.24,1.43,11.17,16.569999999999993,6.19,2.22,83.43,6.07
2025-04-01,72.83,2.45,7.93,2.56,12.76,13.989999999999995,8.6,2.19,86.01,9.48
2025-04-02,82.37,1.7,7.09,1.65,11.34,8.709999999999994,8.48,2.45,91.29,9.85
