date,referral_conversion_rate,referral_source_count,referral_to_admission_time,referral_volume_daily
2025-03-07,67.38,5.0,1.09,50.0
2025-03-08,66.97,8.0,1.13,42.0
2025-03-09,83.52,10.0,1.66,48.0
2025-03-10,68.27,7.0,2.0,80.0
2025-03-11,76.29,6.0,2.83,45.0
2025-03-12,67.2,5.0,1.13,68.0
2025-03-13,71.75,8.0,1.81,75.0
2025-03-14,68.19,8.0,2.41,45.0
2025-03-15,81.32,8.0,1.91,54.0
2025-03-16,81.54,9.0,2.94,66.0
2025-03-17,60.03,8.0,2.34,70.0
2025-03-18,75.31,5.0,1.08,50.0
2025-03-19,76.4,8.0,1.68,65.0
2025-03-20,76.17,9.0,2.21,49.0
2025-03-21,65.68,6.0,2.72,52.0
2025-03-22,72.39,10.0,1.33,70.0
2025-03-23,79.94,5.0,2.19,69.0
2025-03-24,82.66,9.0,1.38,41.0
2025-03-25,70.74,7.0,2.9,54.0
2025-03-26,61.6,8.0,1.12,50.0
2025-03-27,79.1,6.0,2.09,79.0
2025-03-28,79.73,6.0,1.17,62.0
2025-03-29,71.8,10.0,2.02,45.0
2025-03-30,83.6,7.0,2.32,60.0
2025-03-31,76.53,6.0,2.62,77.0
2025-04-01,74.73,8.0,1.32,49.0
2025-04-02,82.42,5.0,2.05,64.0
2025-04-03,81.75,10.0,1.05,77.0
2025-04-04,68.21,6.0,2.65,48.0
2025-04-05,77.01,5.0,2.03,64.0
2025-04-06,68.98,6.0,2.61,65.0
2025-04-07,75.46,10.0,1.4,64.0
2025-04-08,72.52,7.0,2.59,79.0
2025-04-09,65.8,6.0,2.97,52.0
2025-04-10,78.1,5.0,2.36,78.0
2025-04-11,68.08,8.0,2.33,77.0
2025-04-12,60.94,5.0,2.66,47.0
2025-04-13,80.55,6.0,2.63,51.0
2025-04-14,70.24,6.0,1.21,71.0
2025-04-15,83.07,6.0,1.99,51.0
2025-04-16,75.47,7.0,2.91,78.0
2025-04-17,83.98,6.0,1.81,49.0
2025-04-18,68.79,6.0,2.67,45.0
2025-04-19,74.99,5.0,2.98,78.0
2025-04-20,74.67,10.0,2.0,74.0
2025-04-21,62.98,7.0,1.8,70.0
2025-04-22,74.22,5.0,2.96,75.0
2025-04-23,69.27,7.0,2.34,63.0
2025-04-24,83.71,5.0,2.9,69.0
2025-04-25,72.44,5.0,1.25,46.0
2025-04-26,71.88,8.0,2.3,69.0
2025-04-27,67.2,5.0,1.05,75.0
2025-04-28,61.91,5.0,1.48,53.0
2025-04-29,61.67,9.0,2.67,62.0
2025-04-30,63.64,10.0,1.91,78.0
2025-05-01,84.59,10.0,1.85,50.0
2025-05-02,64.82,6.0,1.77,49.0
2025-05-03,64.94,9.0,1.46,62.0
2025-05-04,66.81,6.0,1.28,46.0
2025-05-05,83.87,7.0,1.19,47.0
2025-05-06,63.28,9.0,2.48,57.0
2025-05-07,76.68,7.0,2.67,59.0
2025-05-08,61.19,9.0,2.42,53.0
2025-05-09,71.68,5.0,2.07,51.0
2025-05-10,62.55,7.0,2.23,67.0
2025-05-11,78.3,7.0,2.23,59.0
2025-05-12,81.42,9.0,1.98,52.0
2025-05-13,64.92,9.0,2.06,65.0
2025-05-14,62.4,5.0,1.57,80.0
2025-05-15,81.41,8.0,1.35,80.0
2025-05-16,76.29,8.0,1.7,47.0
2025-05-17,72.88,9.0,1.59,50.0
2025-05-18,61.26,10.0,2.75,79.0
2025-05-19,70.15,6.0,2.72,76.0
2025-05-20,78.05,7.0,1.81,80.0
2025-05-21,76.91,6.0,1.33,44.0
2025-05-22,65.52,8.0,2.95,50.0
2025-05-23,68.79,8.0,1.72,42.0
2025-05-24,60.75,6.0,2.74,42.0
2025-05-25,60.11,5.0,2.38,48.0
2025-05-26,69.0,9.0,1.98,42.0
2025-05-27,75.4,5.0,1.88,45.0
2025-05-28,78.74,9.0,1.43,41.0
2025-05-29,79.97,9.0,2.19,52.0
2025-05-30,70.43,7.0,1.14,75.0
2025-05-31,82.99,7.0,2.54,79.0
2025-06-01,81.22,8.0,1.4,41.0
2025-06-02,68.13,10.0,1.61,66.0
2025-06-03,76.52,10.0,1.14,64.0
2025-06-04,81.33,5.0,1.01,76.0
